ISBN,Rent Price,New Price,Used Price
9780312653620,11.49,-1,22.49
9780205873487,28.49,175.99,129.49
9781457696244,14.99,90.49,69.99
9781305075931,30.99,148.99,119.49
9781133953531,22.99,-1,35.49
9781285429595,27.49,214.99,79.49
9781285737034,12.99,196.49,105.49
9780321841803,14.49,88.99,37.99
9781589483354,12.49,61.49,28.99
9780976423317,19.99,32.99,25.99
9781433805615,29.49,33.49,31.49
9780132069489,14.99,-1,-1
9780872201927,23.49,19.99,13.49
9781457668418,30.49,136.49,120.99
9781449635053,14.99,58.99,11.49
9780321909718,18.49,100.99,54.99
9781581212105,19.99,130.49,80.99
9780073523927,13.49,177.49,129.49
9780133142662,-1,82.99,-1
9781285860169,26.99,-1,41.99
9780133142679,27.49,-1,18.49
9781118147276,20.99,-1,52.49
9780312410001,21.99,-1,56.99
9780840068484,14.49,-1,22.99
9780312542566,24.99,-1,25.49
9781584804000,9.99,-1,12.49
9780321794772,18.99,167.99,130.49
9781111831424,32.99,-1,74.99
9781616690175,11.99,19.99,12.49
9781285167640,32.49,245.99,50.49
9781285166025,15.99,-1,32.49
9780132492669,16.49,-1,70.99
9781551119717,14.49,-1,-1
9780077236182,13.49,98.49,22.99
9780809016068,41.49,24.49,19.49
9781581211276,16.99,-1,40.49
9781133603184,49.49,-1,81.99
9781285065137,26.49,-1,53.49
9781285870298,26.99,-1,15.49
9781133956570,43.49,131.99,86.99
9781462515554,13.49,51.49,39.99
9781464111723,21.49,-1,23.49
9781285867502,18.49,-1,34.99
9780073534305,15.49,-1,23.49
9780205873760,17.49,49.99,41.99
9781429295635,25.99,-1,34.49
9780312458874,14.49,29.99,22.49
9781457606069,14.49,30.99,26.99
9781457642326,30.99,40.49,31.49
9781455728466,13.49,-1,32.49
9781457667831,21.99,-1,72.99
9781118147290,40.99,-1,102.49
9781457606045,16.99,-1,31.49
9781285755618,14.49,133.49,77.49
9780716779391,-1,-1,26.49
9781429234146,31.99,271.99,101.49
9781457633454,22.99,-1,65.49
9780205744206,21.99,-1,25.99
9781457608025,14.99,78.99,72.49
9781429283526,28.99,-1,53.99
9781118452288,16.49,141.49,126.99
9781285165905,13.99,124.49,107.49
9781455753581,13.49,-1,66.99
9781285165912,24.49,246.49,116.99
9781429261784,19.99,-1,51.99
9781285428949,15.49,105.49,92.49
9781464109362,14.99,114.49,82.99
9781450468909,12.99,32.49,32.49
9781464102417,33.49,-1,82.99
9781457606717,16.49,-1,15.99
9781285068909,19.49,-1,18.99
9780521558181,9.99,-1,7.49
9781450469814,20.99,69.99,68.49
9781133309734,16.99,-1,24.99
9780393912944,21.99,-1,7.49
9780136019251,39.49,159.99,132.49
9781285185248,32.99,209.49,185.99
9781616690182,29.99,19.49,13.49
9781429283816,21.99,169.99,115.99
9781457632501,19.99,-1,45.49
9781483317533,20.99,76.49,61.99
9781457666520,16.49,78.99,60.49
9781457622601,17.99,90.49,54.49
9781285193946,21.49,-1,38.49
9781284036596,13.49,106.99,77.99
9781133309741,13.49,-1,10.99
9780321755957,16.99,-1,29.99
9780077516536,15.49,-1,27.49
9781285858913,23.49,189.99,145.49
9781285061917,24.99,-1,27.99
9781457601842,15.49,-1,32.49
9781429266796,24.49,-1,58.49
9781450434324,20.99,-1,78.99
9780205962051,29.99,104.49,79.99
9781285763880,17.49,183.49,124.49
9781455728107,14.49,129.49,100.49
9781457666766,74.49,83.99,64.49
9781457622373,16.99,72.49,52.99
9781429299220,20.99,-1,25.49
9781584805540,13.49,89.49,47.99
9781285836454,39.49,-1,59.49
9781133957751,15.99,-1,20.99
9781285057095,67.99,164.99,158.99
9781449697365,13.49,67.99,21.49
9781133943419,34.49,-1,70.49
9781285432625,9.99,-1,10.49
9781285445588,29.99,-1,39.49
9781429242172,15.49,105.99,47.49
9780132179324,11.99,76.99,32.49
9781285062662,15.49,-1,17.99
9781285061948,29.99,67.49,34.49
9781285196541,18.49,112.49,97.99
9781133191353,37.49,105.49,56.49
